2025-04-20 22:11:36 - Gesture: like, Confidence: 1.00
2025-04-20 22:11:36 - Gesture: like, Confidence: 1.00
2025-04-20 22:11:36 - Gesture: like, Confidence: 1.00
2025-04-20 22:11:36 - Gesture: like, Confidence: 1.00
2025-04-20 22:11:37 - Gesture: dislike, Confidence: 0.95
2025-04-20 22:11:37 - Gesture: dislike, Confidence: 0.95
2025-04-20 22:11:37 - Gesture: dislike, Confidence: 0.95
2025-04-20 22:11:37 - Gesture: dislike, Confidence: 0.94
2025-04-20 22:11:37 - Gesture: dislike, Confidence: 0.94
2025-04-20 22:11:37 - Gesture: dislike, Confidence: 0.94
2025-04-20 22:11:37 - Gesture: dislike, Confidence: 0.94
2025-04-20 22:11:38 - Gesture: dislike, Confidence: 0.93
2025-04-20 22:11:38 - Gesture: dislike, Confidence: 0.93
2025-04-20 22:11:38 - Gesture: dislike, Confidence: 0.92
2025-04-20 22:11:38 - Gesture: dislike, Confidence: 0.92
2025-04-20 22:11:38 - Gesture: dislike, Confidence: 0.92
2025-04-20 22:11:38 - Gesture: dislike, Confidence: 0.92
2025-04-20 22:11:38 - Gesture: dislike, Confidence: 0.93
2025-04-20 22:11:38 - Gesture: dislike, Confidence: 0.93
2025-04-20 22:11:38 - Gesture: dislike, Confidence: 0.93
2025-04-20 22:11:38 - Gesture: dislike, Confidence: 0.94
2025-04-20 22:11:39 - Gesture: dislike, Confidence: 0.94
2025-04-20 22:11:39 - Gesture: dislike, Confidence: 0.94
2025-04-20 22:11:39 - Gesture: dislike, Confidence: 0.95
2025-04-20 22:11:39 - Gesture: dislike, Confidence: 0.95
2025-04-20 22:11:39 - Gesture: dislike, Confidence: 0.95
2025-04-20 22:11:40 - Gesture: dislike, Confidence: 0.95
2025-04-20 22:11:40 - Gesture: dislike, Confidence: 0.95
2025-04-20 22:11:40 - Gesture: dislike, Confidence: 0.96
2025-04-20 22:11:40 - Gesture: dislike, Confidence: 0.96
2025-04-20 22:11:40 - Gesture: dislike, Confidence: 0.96
2025-04-20 22:11:40 - Gesture: dislike, Confidence: 0.96
2025-04-20 22:11:40 - Gesture: dislike, Confidence: 0.97
2025-04-20 22:11:40 - Gesture: dislike, Confidence: 0.97
2025-04-20 22:11:40 - Gesture: dislike, Confidence: 0.98
2025-04-20 22:11:41 - Gesture: dislike, Confidence: 0.98
2025-04-20 22:11:41 - Gesture: dislike, Confidence: 0.98
2025-04-20 22:11:41 - Gesture: dislike, Confidence: 0.99
2025-04-20 22:11:41 - Gesture: dislike, Confidence: 0.99
2025-04-20 22:11:41 - Gesture: dislike, Confidence: 0.99
2025-04-20 22:11:41 - Gesture: dislike, Confidence: 0.99
2025-04-20 22:11:41 - Gesture: dislike, Confidence: 0.99
2025-04-20 22:11:41 - Gesture: dislike, Confidence: 0.99
2025-04-20 22:11:41 - Gesture: dislike, Confidence: 0.99
2025-04-20 22:11:41 - Gesture: dislike, Confidence: 0.99
2025-04-20 22:11:41 - Gesture: dislike, Confidence: 0.99
2025-04-20 22:11:42 - Gesture: dislike, Confidence: 0.99
2025-04-20 22:11:42 - Gesture: dislike, Confidence: 0.95
2025-04-20 22:11:42 - Gesture: dislike, Confidence: 0.95
2025-04-20 22:11:43 - Gesture: dislike, Confidence: 0.94
2025-04-20 22:11:43 - Gesture: dislike, Confidence: 0.93
2025-04-20 22:11:43 - Gesture: dislike, Confidence: 0.93
2025-04-20 22:11:43 - Gesture: dislike, Confidence: 0.91
2025-04-20 22:11:43 - Gesture: peace, Confidence: 0.91
2025-04-20 22:11:43 - Gesture: peace, Confidence: 0.91
2025-04-20 22:11:43 - Gesture: peace, Confidence: 0.91
2025-04-20 22:11:43 - Gesture: peace, Confidence: 0.91
2025-04-20 22:11:43 - Gesture: peace, Confidence: 0.90
2025-04-20 22:11:43 - Gesture: peace, Confidence: 0.91
2025-04-20 22:11:43 - Gesture: peace, Confidence: 0.90
2025-04-20 22:11:44 - Gesture: peace, Confidence: 0.90
2025-04-20 22:11:44 - Gesture: peace, Confidence: 0.87
2025-04-20 22:11:44 - Gesture: peace, Confidence: 0.85
2025-04-20 22:11:44 - Gesture: peace, Confidence: 0.83
2025-04-20 22:11:44 - Gesture: peace, Confidence: 0.80
2025-04-20 22:11:44 - Gesture: peace, Confidence: 0.77
2025-04-20 22:11:44 - Gesture: peace, Confidence: 0.75
2025-04-20 22:11:45 - Gesture: two_up, Confidence: 0.97
